areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09
All Downtown,Manhattan,submarket,1679000.000,1685000.000,1650000.000,1599000.000,1595000.000,1555000.000,1535000.000,1450000.000,1430000.000,1495000.000,1495000.000,1495000.000,1492500.000,1477500.000,1475000.000,1525000.000,1450000.000,1395000.000,1425000.000,1400000.000,1475000.000,1516000.000,1530000.000,1500000.000,1525000.000,1495000.000,1490000.000,1525000.000,1550000.000,1542500.000,1450000.000,1495000.000,1625000.000,1600000.000,1634000.000,1650000.000,1750000.000,1750000.000,1985000.000,1995000.000,1995000.000,2095000.000,2200000.000,2200000.000,2350000.000,2433900.000,2475000.000,2700000.000,2695000.000,2642495.000,2675000.000,2750000.000,2799000.000,2949000.000,2900000.000,2995999.000,3100000.000,3125000.000,3225000.000,3625000.000,3665000.000,3665000.000,3625000.000,3500000.000,3520000.000,3520000.000,3500000.000,3615000.000,3600000.000,3550000.000,3550000.000,3650000.000,3520000.000,3462500.000,3350000.000,3155000.000,3123000.000,3072500.000,3111000.000,3123000.000,2995000.000,2995000.000,2995000.000,3100000.000,3100000.000,2995000.000,2875000.000,2850000.000,2835000.000,2797000.000,2799995.000,2750000.000,2750000.000,2800000.000,2797250.000,2795000.000,2780000.000,2750000.000,2750000.000,2736000.000,2590000.000,2595000.000,2575000.000,2500000.000,2575000.000,2550000.000,2590000.000,2595000.000,2600000.000,2595000.000,2500000.000,2500495.000,2550000.000,2495000.000,2495000.000,2495000.000,2500000.000,2500000.000,2500000.000,2575495.000,2650000.000,2580495.000,2575000.000,2595000.000,2500000.000,2535000.000,2481995.000,2395000.000,2350000.000,2350000.000,2350000.000,2395000.000,2395000.000,2395000.000,2350000.000,2400000.000,2400000.000,2395000.000,2495000.000,2550000.000,2540067.000,2600000.000,2695000.000,2700000.000,2695000.000,2550000.000,2495000.000,2490000.000,2450000.000,2495000.000,2500000.000,2500000.000,2695000.000,2650000.000,2685000.000,2755000.000,2695486.000,2750000.000,2695000.000,2650000.000,2699000.000,2650000.000,2595000.000,2625000.000,2695000.000
All Midtown,Manhattan,submarket,1195000.000,1150000.000,1195000.000,1150000.000,1150000.000,1145000.000,1137500.000,1125000.000,1100000.000,1150000.000,1145000.000,1149000.000,1150000.000,1150000.000,1175000.000,1150000.000,1155000.000,1125000.000,1150000.000,1175000.000,1175000.000,1175000.000,1195000.000,1225000.000,1195000.000,1250000.000,1300000.000,1296500.000,1295000.000,1330000.000,1371250.000,1400000.000,1462750.000,1425000.000,1425000.000,1445000.000,1397000.000,1400000.000,1495000.000,1499000.000,1425000.000,1495000.000,1512500.000,1575000.000,1570000.000,1545000.000,1596500.000,1685000.000,1700000.000,1680000.000,1600000.000,1650000.000,1750000.000,1700000.000,1775000.000,1780000.000,1895000.000,1800000.000,1800000.000,1850000.000,1850000.000,1850000.000,1950000.000,1875000.000,1860000.000,1875000.000,1950000.000,1962500.000,1995000.000,2037500.000,2112500.000,2150000.000,2195000.000,1995000.000,1950000.000,2050000.000,2000000.000,1999000.000,2049500.000,2150000.000,2095000.000,2099000.000,2150000.000,2194995.000,2200000.000,2225000.000,2130000.000,2000000.000,1995000.000,1950000.000,1900000.000,1865000.000,1875000.000,1858500.000,1900000.000,1950000.000,1995000.000,1999000.000,1895000.000,1795000.000,1800000.000,1750000.000,1749500.000,1750000.000,1795000.000,1795000.000,1800000.000,1835000.000,1809000.000,1750000.000,1720000.000,1780000.000,1750000.000,1699800.000,1695000.000,1695000.000,1795000.000,1750000.000,1785000.000,1795000.000,1995000.000,1995000.000,2000000.000,1999000.000,1799999.000,1695000.000,1595000.000,1589000.000,1550000.000,1595000.000,1595000.000,1595000.000,1595000.000,1600000.000,1595000.000,1595000.000,1550000.000,1550000.000,1595000.000,1600000.000,1695000.000,1697375.000,1695750.000,1750000.000,1795000.000,1790000.000,1673700.000,1622000.000,1595000.000,1555000.000,1595000.000,1625000.000,1795000.000,1850000.000,1885000.000,1980000.000,1995000.000,1987000.000,1950000.000,1995000.000,1975000.000,1895000.000,1950000.000,1998000.000,1995000.000
All Upper East Side,Manhattan,submarket,1585000.000,1595000.000,1597000.000,1650000.000,1650000.000,1674875.000,1589000.000,1589000.000,1576250.000,1595000.000,1595000.000,1576250.000,1525000.000,1509500.000,1438750.000,1400000.000,1425000.000,1400000.000,1426250.000,1426250.000,1495000.000,1495000.000,1499000.000,1499000.000,1525000.000,1525000.000,1575000.000,1535000.000,1509010.000,1575000.000,1595000.000,1575000.000,1649000.000,1792000.000,1849000.000,1849000.000,1862500.000,1850000.000,1850000.000,1875000.000,2037500.000,2300000.000,2300000.000,2195000.000,2350000.000,2350000.000,2425000.000,2495000.000,2600000.000,2500000.000,2770000.000,2595000.000,2450000.000,2375000.000,2350000.000,2395000.000,2500000.000,2497500.000,2595000.000,2680000.000,2799500.000,2500000.000,2290000.000,2200000.000,2372500.000,2290000.000,2365000.000,2450000.000,2350000.000,2232500.000,2495000.000,2600000.000,2650000.000,2500000.000,2495000.000,2565000.000,2595000.000,2499500.000,2600000.000,2650000.000,2647500.000,2595000.000,2637500.000,2720000.000,2599500.000,2550000.000,2475000.000,2567500.000,2475000.000,2480000.000,2475000.000,2480000.000,2395000.000,2427500.000,2550000.000,2685000.000,2500000.000,2400000.000,2495000.000,2500000.000,2495000.000,2495000.000,2500000.000,2395000.000,2300000.000,2295000.000,2295000.000,2295000.000,2235000.000,2250000.000,2172500.000,2225000.000,2450000.000,2262500.000,2202500.000,2095000.000,2000000.000,2195000.000,2300000.000,2450000.000,2495000.000,2495000.000,2495000.000,2595000.000,2595000.000,2475000.000,2297500.000,2150000.000,2185000.000,2175000.000,2175000.000,2250000.000,2300000.000,2279500.000,2255000.000,2250000.000,2250000.000,2269750.000,2350000.000,2260000.000,2395000.000,2692500.000,2550000.000,2692500.000,2500000.000,2495000.000,2399250.000,2357500.000,2499999.000,2497500.000,2450000.000,2500000.000,2489000.000,2597500.000,2869000.000,2925000.000,2795000.000,2772500.000,2595000.000,2725000.000,2699000.000,2597000.000,2745000.000,2693500.000,2600000.000
All Upper Manhattan,Manhattan,submarket,639000.000,625000.000,629000.000,649000.000,604000.000,589000.000,581000.000,579000.000,595000.000,551000.000,550000.000,550000.000,540500.000,535000.000,545000.000,550000.000,550000.000,550000.000,517500.000,525000.000,525000.000,535000.000,532000.000,535000.000,539000.000,558000.000,569000.000,568500.000,566500.000,565000.000,570500.000,572500.000,565000.000,575000.000,579000.000,593000.000,575000.000,558900.000,547500.000,558800.000,566500.000,591500.000,594000.000,591500.000,598500.000,650000.000,664500.000,668000.000,710000.000,717000.000,726500.000,677000.000,650000.000,699500.000,635000.000,649500.000,722500.000,747000.000,771500.000,800000.000,795000.000,795000.000,800000.000,795000.000,792000.000,792000.000,775750.000,825000.000,800000.000,799950.000,825000.000,850000.000,795587.000,790000.000,799000.000,829000.000,790000.000,795587.000,825000.000,825000.000,825000.000,827000.000,859500.000,869000.000,895000.000,918000.000,900000.000,929000.000,900000.000,899500.000,900000.000,899000.000,849000.000,849000.000,800000.000,849500.000,850000.000,848000.000,846500.000,857500.000,835000.000,837000.000,855000.000,880000.000,860000.000,848000.000,850000.000,850000.000,875000.000,899000.000,925000.000,947000.000,970000.000,949500.000,910000.000,927000.000,949750.000,947000.000,947000.000,950000.000,995000.000,950000.000,950000.000,999000.000,965000.000,972500.000,999000.000,998500.000,975000.000,979000.000,995000.000,995000.000,975000.000,985000.000,999000.000,962000.000,910000.000,899000.000,899000.000,944750.000,985000.000,949500.000,955000.000,949748.000,996250.000,955000.000,975000.000,910000.000,949000.000,995000.000,965000.000,925000.000,945000.000,990000.000,950000.000,950000.000,960000.000,950000.000,949000.000,925000.000,918500.000,965000.000,950000.000,1022048.000,952500.000
All Upper West Side,Manhattan,submarket,1495000.000,1499500.000,1495000.000,1445000.000,1495000.000,1495000.000,1512500.000,1497000.000,1499000.000,1495000.000,1650000.000,1640000.000,1560000.000,1690000.000,1625000.000,1795000.000,1795000.000,1797000.000,1795000.000,1792000.000,1672500.000,1695000.000,1725000.000,1795000.000,1695000.000,1650000.000,1700000.000,1660000.000,1635000.000,1595000.000,1450000.000,1582000.000,1650000.000,1575000.000,1547500.000,1500000.000,1550000.000,1487500.000,1450000.000,1450000.000,1475000.000,1555000.000,1680000.000,1650000.000,1670000.000,1782500.000,1837000.000,2150000.000,2232500.000,2050000.000,2055000.000,2055000.000,1997500.000,1950000.000,1874500.000,1900000.000,2150000.000,2332500.000,2425000.000,2395000.000,2297500.000,2270000.000,2297500.000,2320000.000,2336800.000,2475000.000,2455000.000,2550000.000,2535000.000,2597500.000,2687500.000,2800000.000,2772000.000,2750000.000,2750000.000,2750000.000,2624500.000,2575000.000,2600000.000,2700000.000,2575000.000,2500000.000,2675000.000,2825000.000,2685000.000,2685000.000,2500000.000,2495000.000,2495000.000,2495000.000,2495000.000,2497500.000,2600000.000,2549500.000,2677500.000,2595000.000,2695000.000,2600000.000,2445000.000,2350000.000,2385000.000,2375000.000,2395000.000,2440000.000,2350000.000,2497000.000,2437500.000,2595000.000,2550000.000,2600000.000,2495000.000,2395000.000,2362500.000,2395000.000,2385000.000,2350000.000,2425000.000,2375000.000,2565000.000,2745000.000,2492500.000,2492500.000,2470000.000,2395000.000,2195000.000,2300000.000,1999500.000,1995000.000,2050000.000,1900000.000,1895000.000,1995000.000,1995000.000,2100000.000,2195000.000,2435000.000,2495000.000,2492500.000,2400000.000,2490000.000,2499500.000,2425000.000,2396500.000,2450000.000,2650000.000,2570000.000,2595000.000,2595000.000,2650000.000,2545000.000,2597500.000,2750000.000,2805000.000,2912500.000,2737500.000,2697500.000,2695000.000,2597500.000,2625000.000,2520000.000,2350000.000,2259800.000,2350000.000,2447500.000,2535000.000
Astoria,Queens,neighborhood,469000.000,477000.000,485000.000,449000.000,452500.000,450000.000,449000.000,445000.000,445000.000,452500.000,465000.000,474000.000,469000.000,474000.000,489000.000,475000.000,480500.000,474000.000,444000.000,450000.000,446980.000,441980.000,449000.000,462000.000,489000.000,489000.000,489500.000,494000.000,491500.000,497000.000,499000.000,529000.000,549000.000,529000.000,495000.000,446500.000,519000.000,519000.000,509500.000,509500.000,444000.000,444000.000,425000.000,425000.000,437000.000,450000.000,449000.000,449500.000,458000.000,449000.000,515000.000,515000.000,515000.000,517000.000,520000.000,535000.000,539500.000,532500.000,535000.000,519000.000,515000.000,539000.000,569000.000,592000.000,589000.000,602000.000,645000.000,610000.000,670000.000,680000.000,610000.000,615000.000,622000.000,639000.000,639000.000,665000.000,696425.000,665000.000,657000.000,695000.000,675000.000,665000.000,675000.000,736800.000,785000.000,725000.000,669500.000,669500.000,680000.000,649500.000,650000.000,650000.000,649000.000,688925.000,734000.000,744000.000,725000.000,724000.000,739000.000,707000.000,695000.000,675000.000,695000.000,699000.000,689000.000,680000.000,708500.000,723500.000,729000.000,729000.000,738000.000,715000.000,702500.000,710000.000,729000.000,724000.000,699000.000,706998.000,680000.000,682500.000,699000.000,725000.000,699000.000,715000.000,715000.000,725000.000,715000.000,725760.000,725880.000,722500.000,697000.000,688500.000,688000.000,646860.000,649000.000,672000.000,679000.000,649000.000,649000.000,649000.000,659000.000,662000.000,679500.000,679000.000,680000.000,727500.000,680000.000,719000.000,698000.000,698000.000,698000.000,698000.000,695000.000,699000.000,682500.000,687500.000,675000.000,677500.000,670000.000,699000.000,699000.000,699000.000,699000.000,699000.000,699000.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,549000.000,549000.000,,,,,,,,,,,549500.000,569000.000,570000.000,570000.000,568000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734000.000,739000.000,739000.000,724000.000,724000.000,729000.000,728500.000,750000.000,728500.000,748500.000,710000.000,710000.000,699000.000,699000.000,690000.000,720000.000,699000.000,689500.000,704000.000,755000.000,777000.000,719000.000,739000.000,743500.000,748000.000,699999.000,699999.000,699999.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,689000.000,,689000.000,,689000.000,,,739000.000,739000.000,,,,725000.000,690000.000,709500.000,,,,,,,,,,780000.000,792000.000,,780000.000,
Battery Park City,Manhattan,neighborhood,875000.000,944000.000,925000.000,925000.000,900000.000,1010000.000,934500.000,775000.000,777500.000,929000.000,900000.000,860000.000,875000.000,890000.000,849000.000,899000.000,884500.000,860000.000,825000.000,860000.000,900000.000,899000.000,815000.000,860000.000,850000.000,850000.000,830000.000,849000.000,817500.000,820000.000,775000.000,770000.000,799000.000,774695.000,810000.000,801125.000,835000.000,835000.000,819000.000,795000.000,785559.000,825000.000,1130000.000,1149500.000,1115000.000,1124500.000,1124500.000,999000.000,1200000.000,1150000.000,1050000.000,960000.000,997000.000,1039250.000,1150000.000,995000.000,977500.000,1262250.000,1450000.000,1964100.000,1950000.000,2350000.000,2030000.000,1500000.000,1600000.000,1525000.000,1500000.000,1512500.000,1720000.000,1790000.000,1697000.000,1695000.000,1790000.000,1699000.000,1900000.000,1922500.000,1965000.000,1950000.000,1896500.000,1879000.000,1860000.000,1649000.000,1810000.000,1992500.000,1990000.000,1882500.000,1825000.000,1760000.000,1549500.000,1419000.000,1513500.000,1400000.000,1599000.000,1450000.000,1297000.000,1225000.000,1225000.000,1500000.000,1499000.000,1395000.000,1298000.000,1190000.000,1225000.000,1182500.000,1225000.000,1292500.000,1390000.000,1320000.000,1199000.000,1195000.000,1177500.000,1155000.000,1187500.000,1175000.000,1217000.000,1242500.000,1199000.000,1179000.000,1180000.000,1099000.000,1264000.000,1385000.000,1342000.000,1500000.000,1417500.000,1598000.000,1162500.000,999000.000,987000.000,1096500.000,1095000.000,1097000.000,975000.000,967500.000,998000.000,937500.000,950000.000,945000.000,996500.000,950000.000,1195000.000,1150000.000,1150000.000,1099000.000,1155000.000,995000.000,999999.000,1150000.000,1099000.000,1214975.000,1195000.000,1199000.000,1224500.000,1272500.000,1150000.000,1187000.000,1025000.000,1050000.000,1050000.000,1012500.000,998000.000,986500.000,999000.000,1070000.000,1165000.000
Bay Ridge,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585000.000,,627500.000,627500.000,607500.000,595000.000,585000.000,595000.000,525000.000,545000.000,479000.000,442000.000,442000.000,417500.000,384500.000,450000.000,410000.000,,735000.000,,,,715000.000,622000.000,622000.000,575000.000,487000.000,,419000.000,,,,,,,,457500.000,529000.000,599999.000,552000.000,514000.000,514000.000,529000.000,599999.000,647500.000,722000.000,839000.000,825000.000,825000.000,,,825000.000,879000.000,845000.000,777000.000,759000.000,798000.000,814000.000,875000.000,887250.000,855000.000,849000.000,842000.000,825000.000,805000.000,749000.000,777000.000,755000.000,755000.000,810000.000,825000.000,822000.000,814500.000,810000.000,819000.000,819000.000,826500.000,780500.000,752000.000,759000.000,766500.000,774000.000,798000.000,798000.000,818500.000,804000.000,798000.000,798500.000,799000.000,789000.000,729000.000,794000.000,787000.000,787000.000,799000.000,799000.000,799000.000,799999.000,799000.000,799000.000,799000.000,799000.000,842250.000,888500.000,880250.000,872000.000,869000.000,849999.000,847500.000,799000.000,846500.000,839000.000,839000.000,848000.000,850000.000,849000.000,850000.000,849000.000,799000.000,824999.000,729000.000,764000.000,812000.000,812000.000,799000.000,769000.000,820000.000,838000.000,839000.000,838000.000,809000.000
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613000.000,613000.000,658000.000,785000.000,785000.000,678000.000,650000.000,659000.000,648000.000,640000.000,668000.000,729500.000,760000.000,728000.000,684500.000,699000.000,670000.000,713500.000,728000.000,729000.000,699000.000,699000.000,758500.000,825000.000,825000.000,,794000.000,825000.000,794000.000,638000.000,633500.000,633500.000,,699000.000,668000.000,766500.000,668000.000,,799000.000,699000.000,699000.000,659000.000,683500.000,699000.000,748000.000,718000.000,653000.000,688000.000,,,,,,,699000.000,674000.000,825000.000,815000.000,797000.000,779000.000,758500.000,748500.000,738000.000,679000.000,743500.000,699000.000,678000.000,568000.000,,,,,,,,,,,729120.000,729120.000,728280.000,736950.000,705975.000,736950.000,699000.000,718000.000,733500.000,,753500.000,,738000.000,,,738500.000,736500.000,,719000.000,727000.000,735000.000,736500.000,726500.000,,,,,,,,,,,,,735000.000,725000.000,745000.000,745000.000
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
